품목일련번호,품목명,큰제품이미지
200900823,가스파플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800050
200900833,마이칼디정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800053
200900844,모빅캡슐7.5밀리그램(멜록시캄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Opnl07NLZB
200900845,모빅캡슐15밀리그램(멜록시캄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oa2BrqwGD-
200901014,코큐렉스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800062
200901073,발크로버정500밀리그램(발라시클로비르염산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200040
200901148,엔에이피정(나프록센나트륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800080
200901177,메디헤모연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000003
200901187,이지에스정(방기황기탕건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500115
200901205,제일아노민정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100146
200902918,오렉스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400062
200902983,선콜정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400068
200903022,베리콜노즈정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400071
200903023,마그놀정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400074
200903040,덴티콤캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400077
200903043,리버파워포르테연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400080
200903044,본렉스이알캡슐15밀리그램(시클로벤자프린염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Me1jz_9pfx
200903045,본렉스이알캡슐30밀리그램(시클로벤자프린염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mdm43vUUC-
200903055,오메코프정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400089
200903065,산도스올란자핀정10밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF873
200903066,올란프레서정10mg(올란자핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400099
200903067,산도스올란자핀정5밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF86T
200903068,올란프레서정5mg(올란자핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400107
200903078,산도스올란자핀정2.5밀리그램,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF85t
200903080,올란프레서정2.5mg(올란자핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400122
200903183,센트룸실버정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MwITgp4WIn
200903210,헤파피스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148604072451200094
200903217,메펜연질캡슐(메페남산),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400143
200903247,센타민플러스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400155
200903378,헤모퀸골드캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6KEQ
200903392,제로민연질캡슐(디펜히드라민염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400164
200903395,비나코연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400167
200903409,리피다운캡슐120밀리그램(오르리스타트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900057
200903482,비오펜연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031002845800195
200903579,카이로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJov1
200903580,덴탈에프정(옥수수불검화정량추출물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900142
200903585,마이에신캡슐(은교산),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772284000000
200901403,미카몰정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800116
200901575,행심연질캡슐(은행엽건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000009
200901619,알룬정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800128
200901620,미니메이드정(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800131
200901818,리버플란연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800137
200902147,에코닉신정(클로닉신리시네이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800158
200902192,토넥스포르테캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900101
200902207,헤파라이프연질캡슐350mg(밀크시슬열매건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N9-UdVMReL
200902212,비타마인연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800167
200902301,그날엔정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700043
200902328,자베스카캡슐100밀리그램(미글루스타트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O7UMSVD8I4
200902364,이프렌에스연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ONpCOpRdVF
200902452,맥스비타플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400005
200902506,에델피스연질캡슐(디펜히드라민염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MgMniIZaON
200902577,제이에스콜드정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400017
200902743,오메콜캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400026
200902749,리드비타큐정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400029
200902791,비타엔큐연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000015
200902801,카페그린정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400047
200902805,트리답티브정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147817442818700152
200902876,코프노캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400053
200902884,이젠이캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv12iojCfp
200701086,스프라이셀정50밀리그램(다사티닙),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500035
200403661,에너지톤연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500043
200704968,토핀정25밀리그램(토피라메이트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500049
200202184,디스톤골드연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900100
200202185,콘로친300연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900094
200709387,케티맥스정100밀리그램(푸마르산쿠에티아핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500074
200302360,헤모윈연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725972805200140
200102789,잔타놀정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500080
200402892,푸로콜에스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500107
200101589,에코리자정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500115
200101951,한신타미놀캅셀(아세트아미노펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500118
200201781,아스노캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500121
200705825,아토스타정10밀리그램(아토르바스타틴칼슘삼수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oo7XeTdjqg
200500735,비텐지연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151914121291300098
200600140,라시핀정(라시디핀),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500189
200607723,포스펜정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500196
200612598,보령세파클러캡슐(세파클러수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500199
200806047,리피다운캡슐60밀리그램(오르리스타트),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900075
200808168,아지탑스정250밀리그램(아지트로마이신수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300032
200808280,수마트란정50밀리그램(수마트립탄숙신산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154151882208400080
200808340,바로디핀정5밀리그램(암로디핀베실산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706780504700036
200808561,아네페질속붕정(도네페질염산염일수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956100001
200808653,사르반정80밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298766464500059
200808753,레보텍캡슐(레보드로프로피진),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300083
200903697,로비텐연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000001
200903698,맥스콜연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000004
200903727,속콜파워연질캡슐(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700019
200903737,쿨드림연질캡슐(디펜히드라민염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000023
200903776,긴코센정120밀리그램(은행엽건조엑스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000031
200903782,칼루타미정150밀리그램(비칼루타미드),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000034
200903829,씨탈정(에스시탈로프람옥살산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000040
200903830,미가드정2.5밀리그램(프로바트립탄숙신산염일수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151922765025100029
200903837,마이녹실에스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900015
200903842,비알칸다플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000052
200903850,변락소정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000055
200903851,콜리브정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000058
200903876,지르세틴정10밀리그램(세티리진염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200016
200903912,디펜에이정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661654875400089
200903964,로큅정0.25밀리그램(로피니롤염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956000098
200903969,칼인비연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv5PQjxq6v
200903974,칸데모어정16밀리그램(칸데사르탄실렉세틸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MtVfJYNxry
200903986,코큐모아연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000094
200903987,칼본큐포르테플러스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725977858300030
200903993,로큅정1밀리그램(로피니롤염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661642891600062
200904003,덴타칸캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000106
200904019,바로자미연질캡슐(디펜히드라민염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661657839800057
200904073,알벤프리졸정(알벤다졸),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000124
200904082,로노펜300연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000130
200904122,이모돌정(옥수수불검화정량추출물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665483160200178
200904162,칸데플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000148
200905961,프릴리지정60밀리그램(다폭세틴염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086600026
200906066,프로코라란정5밀리그램(이바브라딘염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154597935837700008
200906065,프로코라란정7.5밀리그램(이바브라딘염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152829795999100098
200906578,뉴피오정(피오글리타존염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400110
200905935,칸다이플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400113
200906062,페이론캡슐(아미노벤조산칼륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400116
200905938,레복사신정250밀리그램(레보플록사신수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ONpCOpRd7D
200906061,피륵산정200밀리그램(부플로메딜인산피리독살),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200046
200905692,클라리틴정(로라타딘),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oikd3yeZPX
200905939,세자르플러스프로정(로사르탄칼륨|히드로클로로티아지드),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400143
200905876,칸데사플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400149
200905929,애드릴정5밀리그램(이미다프릴염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MnfO1MV_5S
200905644,베리콜콜드캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400158
200906079,에피스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400161
200906023,키드업정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400176
200905591,판토마그정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400182
200906073,트랜미정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6I4D
200905776,써큐징코연질캡슐(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900006
200905600,로페란캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900017
200905651,이모나에프캡슐(수출용),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032606603100011
200905675,큐크린정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900032
200905551,콘탑정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900035
200905597,덱시쿨펜연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900045
200905601,메디큐텐정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900055
200905926,러지펜정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900083
200905479,비타모니에이스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900093
200905514,비타올큐연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661654875400059
200905472,덱시카이플러스연질캡슐(덱시부프로펜),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032442560400084
200905927,메타러정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900125
200905562,토코네슘연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900131
200905653,알지엔스피드연질캡슐10밀리그램(세티리진염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900136
200906592,아스몬츄정5밀리그램(몬테루카스트나트륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732699404500034
200906608,산도스프라미펙솔정0.25밀리그램(프라미펙솔염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700128
200906613,에스케이코스카플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Nqf2BSxndn
200906602,원살탄플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900164
200906611,산도스프라미펙솔정1밀리그램(프라미펙솔염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700122
200906599,라파뮨정2밀리그램(시롤리무스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900186
200906610,산도스프라미펙솔정0.5밀리그램(프라미펙솔염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700134
200906585,레보세린정(레보세티리진염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152292786176700113
200906588,아스몬츄정4밀리그램(몬테루카스트나트륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800001
200906557,리비알정(티볼론),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OhPOrsF6_E
200906593,제니낙스정200밀리그램(가레녹사신메실산염수화물),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800007
200906609,산도스프라미펙솔정0.125밀리그램(프라미펙솔염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800010
200906584,일양로자탄플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086500016
200906540,로나센정2밀리그램(블로난세린)/로나센정4밀리그램(블로난세린),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MrmYmlR4oU
200906528,로핀플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800025
200906531,로펜정(방풍통성산건조엑스(4.6→1)),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800034
200906473,훼리너프에프캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800040
200906384,케라민캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68AP
200906497,씨렉신캡슐(은교산건조엑스8.16→1),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800054
200906462,솔라제정(프로나제B),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834130612500018
200906274,에피니틴캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800063
200906105,모아리버골드연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800074
200906301,덴탑플러스캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6FDp
200906254,알러샷연질캡슐(세티리진염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918800015
200906719,쎄로켈서방정150밀리그램(쿠에티아핀푸마르산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N9r98JmP7c
200906794,씨렉신정(은교산연조엑스4.08→1),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900021
200906642,더마화이트정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900033
200907189,클라빅신정(클로피도그렐황산수소염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900042
200907170,제이더블유신약로잘탄플러스프로정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900045
200906974,산도스에스시탈로프람정10밀리그램(에스시탈로프람옥살산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF85H
200904481,베어비타정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956000104
200907385,에키나포스프로텍트정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900065
200907381,쎌크존연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333336303100006
200904492,바이라민골드플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834121591000046
200907669,리노반10캡슐(시부트라민말레산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900097
200907725,비스칸엔캡슐(바실루스리케니포르미스균),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F64Xq
200907722,화이트프로젝트정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333336303000092
200904403,젠스큐민연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900117
200907771,도파로핀정1밀리그램(로피니롤염산염),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500085
200904163,칸단테플러스정16/12.5mg,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149019722388100064
200904164,메토신필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000154
200904168,헵타바캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900089
200904234,아나탄플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000191
200904235,칸세틸플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732699404500088
200904236,칸자탄플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000197
200904630,원스에어정10밀리그램(몬테루카스트나트륨),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732689962500007
200904514,발사벨정40밀리그램(발사르탄),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700003
200904344,고려칸데사르탄플러스정(칸데사르탄실렉세틸|히드로클로로티아지드),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700006
200904536,아피니토정5밀리그램(에베로리무스),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MecIOjA6cp
200904343,카바딜플러스정16/12.5mg,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834135052700013
200904307,버퍼린플러스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148777804344600060
200904308,맥스타제-에스정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700023
200904391,핑크프로캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700047
200904390,콜디콜캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426429003700050
200904372,리세바플러스연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032711460900021
200904406,아이텐연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152285645249900043
